filename,mean_ms,median_ms,p90_ms,p99_ms,max_ms
prefill/vllm_pd_cur4_2025-10-31_19-23-13.log,313.499,232.945,464.691,469.795,476.196
prefill/vllm_pd_cur8_2025-10-31_19-25-53.log,369.758,459.824,468.304,471.891,475.616
prefill/vllm_pd_cur16_2025-10-31_19-28-44.log,371.903,462.057,469.021,473.463,485.263
prefill/vllm_pd_cur32_2025-10-31_19-31-33.log,371.502,460.396,468.994,472.037,493.074
prefill/vllm_pd_cur64_2025-10-31_19-33-57.log,373.123,462.242,469.545,472.818,504.302
prefill/vllm_pd_cur128_2025-10-31_19-36-48.log,374.632,463.019,470.083,473.960,505.146
prefill/vllm_pd_cur256_2025-10-31_19-42-07.log,374.974,463.948,470.019,473.115,499.256
prefill/vllm_pd_cur512_2025-10-31_19-51-23.log,375.507,464.522,470.008,473.433,497.669
decode/vllm_pd_cur4_2025-10-31_19-23-17.log,18.083,14.894,28.333,31.740,33.780
decode/vllm_pd_cur8_2025-10-31_19-25-57.log,20.226,16.496,29.557,33.769,35.783
decode/vllm_pd_cur16_2025-10-31_19-28-49.log,19.714,16.041,29.037,32.771,35.284
decode/vllm_pd_cur32_2025-10-31_19-31-38.log,19.977,16.107,28.925,32.622,35.284
decode/vllm_pd_cur64_2025-10-31_19-34-01.log,19.225,15.814,28.725,31.839,35.844
decode/vllm_pd_cur128_2025-10-31_19-36-53.log,20.509,16.708,29.484,32.393,39.344
decode/vllm_pd_cur256_2025-10-31_19-42-09.log,20.417,16.688,29.660,32.217,37.698
decode/vllm_pd_cur512_2025-10-31_19-51-27.log,20.307,16.540,29.455,31.871,40.321
